,Season,No. overall,No. in season,Title,Directed by,Written by,Original air date,Us viewers (millions),Description,Final diagnosis
121,6,123,13,Moving the Chains,David Straiton,Russel Friend & Garrett Lerner,2010-02-01,13.38,"House and the team rush to treat an ailing college American football starin time for the patient to compete in NFL tryouts. But when the patient experiences an onslaught of varied and unusual symptoms, the team has trouble reaching a consensus on how to effectively treat him in time. Meanwhile, Foreman's brother Marcusmakes a surprise visit to the hospital.",Paraneoplastic syndrome secondary to melanoma
122,6,124,14,5 to 9,Andrew Bernstein,Thomas L. Moran,2010-02-08,13.6,"During a day in the life of Princeton-Plainsboro's Dean of Medicine, Dr. Lisa Cuddy, the inner workings of the hospital are seen through her eyes. This day proves to be especially trying as Cuddy wrestles with myriad hospital issues and staff disputes that test her perseverance and skills as an administrator, all while juggling issues in her personal life.",
123,6,125,15,Private Lives,Sanford Bookstaver,Doris Egan,2010-03-08,12.81,"The team treats a famous bloggerfor sudden coagulopathy, but finds her difficult to treat when she insists on discussing all procedures and doctors on her blog. Meanwhile, House and Wilson learn secrets about each other and go speed dating along with Chase.",Whipple's disease
124,6,126,16,Black Hole,Greg Yaitanes,Lawrence Kaplow,2010-03-15,11.37,"House and team tries to diagnose a high school seniorsuffering from blackouts and hallucinations, and are forced to take a controversial approach. Meanwhile, Wilson attempts to furnish his new condo, and Taub brings his personal life into the workplace.",Cerebellar schistosomiasis delayed hypersensitivity allergy
125,6,127,17,Lockdown,Hugh Laurie,Story by : Eli Attie & Peter BlakeTeleplay by : Russel Friend & Garrett Lerner & Peter Blake & Eli Attie,2010-04-12,10.8,"When the hospital is sent into lockdown mode due to a missing infant, all of the doctors must remain where they are, leaving Foreman and Taub in the file room, Wilson and Thirteen in the cafeteria playing truth or dare, House in a room with a patient, and Chase with his ex-wife, Cameron, as Cuddy tries to help police locate the infant.",
126,6,128,18,Knight Fall,Juan J. Campanella,John C. Kelley,2010-04-19,10.81,"The diagnostics team takes on the case of a man roleplaying as a knightwho collapses at the end of a duel during a Renaissance Fair, leading Foreman and Thirteen to head to the fair to investigate. Meanwhile, House learns that Wilson's newest girlfriend is his ex-wife, and tries all means to ruin the relationship in order to protect his friend from being hurt again.",Anabolic steroid abuse accelerated by hemlock poison
127,6,129,19,Open and Shut,Greg Yaitanes,Liz Friedman & Sara Hess,2010-04-26,10.85,A woman in an open marriagesuddenly becomes ill during a date with her boyfriend; House tests Wilson and Sam's relationship. Taub's wife gives him permission to have relationships with other women.,Henoch–Schönlein purpura
128,6,130,20,The Choice,Juan J. Campanella,David Hoselton,2010-05-03,9.98,"The team takes on the case of an ailing groom-to-bewho harbors undisclosed secrets from a previous relationship. As his fiancéetries to get answers to her many questions, a frustrated team winnows down the possibilities. Meanwhile, House spends extracurricular time with his Princeton Plainsboro colleagues, performing a karaoke rendition of a Gladys Knight & the Pips classic with Foreman and Chase.",Arnold–Chiari malformation
129,6,131,21,Baggage,David Straiton,Doris Egan & David Foster,2010-05-10,9.29,House tells Dr. Nolan about the case of a womansuffering from both amnesia and another mystery condition. But Dr. Nolan believes that something else is troubling House — including the fact that Wilson is kicking him out of their home.,Allergic reaction to tattoo ink.
130,6,132,22,Help Me,Greg Yaitanes,Russel Friend & Garrett Lerner & Peter Blake,2010-05-17,11.06,"After a crane collapse buries a womanbeneath rubble, House must split his time between staying with her and diagnosing the crane operatorwho passed out. But when she dies despite his best efforts, House must avoid the temptation to relapse on Vicodin—until Cuddy admits her love for him.",Fat embolism due to amputation (Hannah); Arachnoid cyst on lower spine (Jay)
131,7,133,1,Now What?,Greg Yaitanes,Doris Egan,2010-09-20,10.54,"House and Cuddy take the day off to talk about their new relationship, while the team tries to cure the lone neurosurgeonon staff who must be ready to operate. If not, the hospital will have to shut down its ER and ICU. During the case, Thirteen prepares for her leave of absence.",Toad egg toxicity
132,7,134,2,Selfish,Dan Attias,Eli Attie,2010-09-27,10.18,"The team treats a teen skateboarderwho collapsed during a competition, and her family must make an impossible decision. Meanwhile, House reveals his relationship with Cuddy to his team, and they both worry whether they can keep their work lives and love lives separate.",Sickle cell trait
133,7,135,3,Unwritten,Greg Yaitanes,John C. Kelley,2010-10-04,10.78,"House and his team race against time to help an authorwho suffered a seizure while attempting to kill herself. With time running out until her psychiatric hold is over and she is released, House believes a clue may be found in her newest manuscript. Meanwhile, House tries to find what common interests he shares with Cuddy, and they double date with Wilson and Sam.",Trauma-related syringomyelia
134,7,136,4,Massage Therapy,David Straiton,Peter Blake,2010-10-11,9.69,"House and the team treat a womansuffering from severe vomiting, heart problems, and a fever, but in the course of treatment, the team discovers that she is not who she says she is. During the case, House's new fellow, a psychiatrist that Chase hired, is welcomed with a trial by fire. Meanwhile, a visit from House's masseuseforces him and Cuddy to confront the fact they are both holding back in their relationship.",Side effects of risperidone; schizophrenia
135,7,137,5,Unplanned Parenthood,Greg Yaitanes,David Foster,2010-10-18,9.65,"When a newborn experiences breathing problems, the team must look at her mother'smedical history for clues, and what they find leads the mother to a difficult decision. Meanwhile, Foreman and Taub must both find a female replacement for Thirteen, and House and Wilson learn valuable lessons in babysitting when Cuddy has to work late.",Abbey: Pulmonary embolism secondary to lung cancer and melanoma. Abbey's baby: hereditary melanoma
136,7,138,6,Office Politics,Sanford Bookstaver,Seth Hoffman,2010-11-08,9.63,"Brilliant medical student Martha M. Mastersjoins the team at Cuddy's insistence, and her first case is treating a campaign managerwho falls ill with a rash, leading to liver failure. But Masters' morality puts her at odds with House and the rest of his team. Meanwhile, House debates whether it is worth lying to Cuddy if it will save his patient's life.",Hepatitis C
137,7,139,7,A Pox on Our House,Tucker Gates,Lawrence Kaplow,2010-11-15,10.77,"A teenage girlcomes to the hospital displaying classic smallpox symptoms, which the team dismisses as impossible until her step-fathergets sick as well. Once the CDC intervenes and isolates the patients, the team is unable to explore any further until House takes a life-threatening risk.",Rickettsialpox
138,7,140,8,Small Sacrifices,Greg Yaitanes,David Hoselton,2010-11-22,9.24,"House must battle disease as well as belief when his patientgets sick after crucifying himself as part of a bargain with God to keep his daughter cancer-free. But when this bargain causes him to refuse treatment, House must devise a new tactic. Meanwhile, Taub sees the other side of indiscretion, and Wilson and Sam's relationship changes.",Marburg multiple sclerosis and Rhodococcus equi infection secondary to malnutrition
139,7,141,9,Larger Than Life,Miguel Sapochnik,Sara Hess,2011-01-17,10.52,"When a bassistpasses out after saving a woman in a subway station, the team must treat him amidst his newfound celebrity, while he begins to realize he may be a better man than he believed. Meanwhile, House must survive a dinner with Cuddy's mother, and Taub comes to terms with his marriage after he is featured in an ad for the hospital.",Chickenpox
140,7,142,10,Carrot or Stick,David Straiton,Liz Friedman,2011-01-24,10.45,"A drill sergeantat a camp for troubled kids collapses with severe back pain, and House and the team must find a connection when one of his recruitsfalls ill with the same symptoms. Meanwhile, Chase must track down whoever is pranking him through a social networking site, and House tries to help Rachel get into a prestigious preschool.",Variegate porphyria
141,7,143,11,Family Practice,Miguel Sapochnik,Peter Blake,2011-02-07,12.33,"Cuddy's motheris rushed to the hospital with heart problems, but refuses treatment by House. When he discovers what is killing her, House, his team, and Cuddy risk their careers to give her the treatment without Cuddy's mother or her doctor finding out. During the case, Masters weighs the dangers of coming clean versus keeping quiet. Meanwhile, Taub risks his side job working for his ex-brother-in-law to correct what he deems to be a medical oversight.",Cobalt poisoning secondary to metallosis
142,7,144,12,You Must Remember This,David Platt,Kath Lingenfelter,2011-02-14,9.86,"A womancomes to the hospital with temporary paralysis, but it is her perfect memory which compels House to take the case. Meanwhile, Taub prepares for an exam which is vital to his career, and Wilson's new companion has House concerned.",McLeod syndrome causing obsessive–compulsive disorder
143,7,145,13,Two Stories,Greg Yaitanes,Thomas L. Moran,2011-02-21,10.41,"House attends a career day at an elementary school as a favor so Rachel can get accepted. Most of the class becomes fascinated with the case of a manwho literally coughed up a lung, but things soon get out of control. As House waits for the principal, two studentsprod House into talking about love, and specifically, why Cuddy is angry with him.",Food lodged in the lung
144,7,146,14,Recession Proof,S. J. Clarkson,John C. Kelley,2011-02-28,11.01,"A real estate higher-upis admitted to the hospital with a severe rash, but it soon becomes clear that he does not live the life that he has led his wife to believe. Meanwhile, House grapples with the fact that his relationship may be distracting him and affecting his ability to diagnose his patients.",Cryopyrin-associated periodic syndrome (specifically Muckle–Wells syndrome)
145,7,147,15,Bombshells,Greg Yaitanes,Liz Friedman & Sara Hess,2011-03-07,11.08,"When Cuddy is admitted to the hospital with what may be life-threatening symptoms, House is confronted with the fact that he is not the supportive boyfriend Cuddy needs him to be, and her surreal dreamsmay be trying to tell her something about her relationship with House. Meanwhile, the team treats a studentwhose emotional scars run deeper than his physical ones, and Taub must decide if the student is a threat to others, or a kid struggling to find his way.",Ryan: Staphylococcus from an abscess. Cuddy: Benign tumor in the kidney; antibiotic allergy
146,7,148,16,Out of the Chute,Sanford Bookstaver,Lawrence Kaplow & Thomas L. Moran,2011-03-14,10.41,"Newly single and back on Vicodin, House gives himself the five-star treatment but begins to worry that nothing – not even medical puzzles – can excite him anymore. Meanwhile, he and his team treat a professional bullriderwho got attacked by a bull after suffering a seizure. But because of his many previous injuries, the team must devise new diagnostic techniques, while Masters becomes quite attached.",Bartonellosis
147,7,149,17,Fall from Grace,Tucker Gates,John C. Kelley,2011-03-21,9.49,"A homeless manis taken to the hospital after suffering a burn, but his condition quickly worsens. What intrigues the team, however, is the fact that he steadfastly refuses to give any information about his real identity. But when the truth of who he really is comes out, it leaves the team stunned. Meanwhile, House agrees to a sham marriage with a prostituteso she can get her green card, and Cuddy feels guilty for dumping House.",Refsum disease
148,7,150,18,The Dig,Matt Shakman,David Hoselton & Sara Hess,2011-04-11,8.93,"House discovers that Thirteen has been in prison for the past six months, and attempts to discover what crime she was guilty of, while also enlisting her help in defeating his spud gun nemesis. Meanwhile, the team takes the case of a teacherwho is coughing up blood. When they search his home, they find it filled with garbage. But even more disturbing is finding his wifeliving beneath the filth. ",Nina: Ehlers–Danlos syndromes leading to compulsive hoarding; Q fever. Brian: Q fever
149,7,151,19,Last Temptation,Tim Southam,David Foster & Liz Friedman,2011-04-18,8.8,"Thirteen returns as Masters prepares to graduate. Her final case is that of a teenage girlaiming to become the youngest sailor to circumnavigate the globe. As the case progresses, House offers Masters an internship in return for forging her lab work requirements. Initially refusing to compromise her integrity, she declines. But when her patient takes a turn for the worse, she must make a decision: her principles, or her patient's life?",Lymphoid sarcoma (Lymphosarcoma)
150,7,152,20,Changes,David Straiton,Story by : Eli Attie & Seth HoffmanTeleplay by : Eli Attie,2011-05-02,8.57,"The team takes on the case of a lottery winnersuffering from paralysis and multiple types of cancer, and they must figure out if it is his new millionaire lifestyle that is making him sick. Meanwhile, Cuddy's mother threatens to sue the hospital over her treatment, and Foreman and Chase make a bet over who is repressing the uglier side of his personality more. ",Teratoma
151,7,153,21,The Fix,Greg Yaitanes,Story by : Thomas L. MoranTeleplay by : Thomas L. Moran & David Shore,2011-05-09,7.94,"After losing a bet with Wilson over a boxing match, House is convinced that the fighter he bet onhas an underlying medical condition that cost him the fight. While he tries to prove it, he leaves his team alone to help a bomb scientistwho suffered a seizure. Meanwhile, House may be experimenting with a new drug to help his leg pain. ",Wendy: Spanish fly (cantherides) poisoning; Terry: Glomus tumor
152,7,154,22,After Hours,Miguel Sapochnik,Seth Hoffman & Russel Friend & Garrett Lerner,2011-05-16,8.92,"When House discovers that the experimental drug he has been using causes fatal tumors, he decides to excise them himself. He attempts to do it in his bathtub but fails and calls around for help, with Cuddy being the only one to respond. Meanwhile, Thirteen's friend from prison, a relapsed drug user, arrives at her apartment needing medical care after being stabbed. With her friend unwilling to go to the hospital, Thirteen finds herself in trouble when the friend loses sensation and movement in her arm. Chase helps her out, brushing Thirteen's ego aside. Taub receives some unexpected news that could change his life.",Entamoeba microbial cyst (referred to as an Amoebic parasitoma)
153,7,155,23,Moving On,Greg Yaitanes,Kath Lingenfelter & Peter Blake,2011-05-23,9.11,"The team treats a seriously ill performance artistwho deliberately induced additional symptoms in herself with the aim of turning the diagnostics department into her new masterpiece, as House must decide which of her symptoms are real, and which are self-inflicted. As the case progresses, House vows to make changes in his life, but remains rooted in old habits. After the case is over, House, finally, deals poorly with his anger over the breakup and lashes out by driving through Cuddy's dining room and escaping to a beach. ","Granulomatosis with polyangiitis (referred to by its former name ""Wegener's granulomatosis"" in the episode)"
154,8,156,1,Twenty Vicodin,Greg Yaitanes,Peter Blake,2011-10-03,9.78,"Eleven months after driving his car into Cuddy's house, three of which were spent on the run and the other eight in prison, House goes before the parole board and learns he has only five days left before he is released. A local prison gang leader then demands twenty Vicodin pills as an ""exit tax."" As House scrambles to pay up, he tries to treat another inmatewith joint pain while turning Dr. Jessica Adamsto his point of view.",Mastocytosis
155,8,157,2,Transplant,Dan Attias,Liz Friedman & David Foster,2011-10-10,6.85,"After two further months in prison, House is released early after an urgent request by Foreman, who is the new dean of medicine. Things have changed: House has lost his office and his team, while Wilson is mad at him and their friendship is tested. What he has gained is a new ""team""—Dr. Chi Park, a smart, young timid resident—and a new case: a set of donor lungs that are failing, threatening the life of Wilson's patient.",Eosinophilic pneumonitis
156,8,158,3,Charity Case,Greg Yaitanes,Sara Hess,2011-10-17,8.34,"When a mancollapses after making a million dollar donation, Dr. Park believes his extreme altruism may indicate a neurological disorder, while House sees a way to fund the rebuilding of his old team back together. Meanwhile, Dr. Adams volunteers her services to the department while looking for a new career, and Thirteenreturns to House only to say goodbye again.",Plummer's disease
157,8,159,4,Risky Business,Sanford Bookstaver,Seth Hoffman,2011-10-31,6.65,"A CEObegins experiencing vision problems days before a major business decision, and House sees it as the perfect way to fund the department through a little blackmail. Meanwhile, Dr. Park prepares for her disciplinary hearing, and Dr. Adams reveals something about her past.",Hyperviscosity syndrome secondary to rheumatoid arthritis
158,8,160,5,The Confession,Kate Woods,John C. Kelley,2011-11-07,7.55,"Chase and Taub return to the team, as the team takes the case of a manwho suffers heart problems while having an affair. When his health worsens, he decides to confess all his past sins to clear his conscience, which compromises his treatment. Meanwhile, House becomes obsessed with finding out if Taub's two daughters are, in fact, actually Taub's.",Kawasaki syndrome
159,8,161,6,Parents,Greg Yaitanes,Eli Attie,2011-11-14,6.63,"A teenage boyattempting to follow in his deceased father's footsteps suffers paralysis at a party. As the team searches for answers, they discover a family secret that threatens the young boy's treatment. Meanwhile, House searches for a valid reason to attend a boxing match in Atlantic City, and Taub must decide whether to allow his ex-wife to move away, taking his daughter with her.","Syphilis, plus Jarisch–Herxheimer reaction"
160,8,162,7,Dead & Buried,Miguel Sapochnik,David Hoselton,2011-11-21,7.46,"The team takes the case of a teenage girlpresenting with anaphylaxis but soon discover that her condition is far more serious when it is discovered that she is pregnant but claiming to be a virgin. House goes to an AA meeting to meet a man whose 4-year-old son has died and his wife divorced him. Determined to find out what happened to the boy, House bribes the cemetery owner to examine the remains of the boy, even as Foreman instructs him to keep on the case.",Iris: Choriocarcinoma and dissociative identity disorder; boy: Alport syndrome
161,8,163,8,Perils of Paranoia,David Straiton,Thomas L. Moran,2011-11-28,7.41,"The team takes the case of a prosecutorwho suffers an apparent heart attack during a case, but when they discover a huge hidden cache of weapons in his home, they must decide whether it's overprotectiveness or paranoia. Meanwhile, Taub decides to assist Foreman in his romantic affairs, and Park eventually starts to realize she needs to open up herself to the other people.",Diphtheria
162,8,164,9,Better Half,Greg Yaitanes,Kath Lingenfelter,2012-01-23,8.76,"A man suffering from early-onset familial Alzheimer's diseasebegins vomiting, and is admitted to the hospital, with his wifetaking care of him. He soon develops aggression and language loss, but the team find it difficult to distinguish his new symptoms from his Alzheimer's. Meanwhile, House and Wilson keep betting on what is causing a woman's apparent asexuality and Foreman debates whether or not he should petition House's parole officer to remove his ankle monitor early.",Reye's syndrome
163,8,165,10,Runaways,Sanford Bookstaver,Marqui Jackson,2012-01-30,8.73,"The team takes the case of a teenage girlwho begins bleeding from her ear during an exam. She is thriving without parental influence and lives alone in a house, but Adams debates calling Social Services anyway. However, when her estranged mother shows up, the girl loses her right to consent to treatment. Meanwhile, Taub tries to connect with his daughters, and House tries to blackmail Foreman on his relationship with a married woman.",Ascariasis
164,8,166,11,Nobody's Fault,Greg Yaitanes,David Foster & Russel Friend & Garrett Lerner,2012-02-06,7.09,"House and his team face a disciplinary hearing with Dr. Cofieldafter a chemistry teacheris admitted to the hospital with paralysis. But things turn bad when in a fit of psychosis and violence, the patient stabs Chase,  ultimately forcing the team into a race against time as they battle to keep Chase alive in the ER. As the patient is going to be transferred, House realizes his syndrome and informs his wife. As he is on the hearing with Dr. Cofield, he is prepared to send House to prison again, but the wife of the patient arrives and thanks him for his correct treatment. Dr. Cofield sets him free, but House berates him for his cowardice as it was obvious that he would have been arrested, so he let him loose to avoid media attention.",Tumor lysis syndrome and steroid-induced psychosis
165,8,167,12,Chase,Matt Shakman,Peter Blake & Eli Attie,2012-02-13,7.16,"Chase's near-death experience has him questioning if he should return to House's team. Meanwhile, he takes the case of a clinic patient, a nun on the verge of making her vows, when she begins vomiting and exhibiting neurological symptoms. During the course of her treatment, he develops feelings for her which compromise his objectivity. In a subplot, House subjects Taub to a series of prankish 'ambushes' in order to prove to him, in light of Chase's stabbing, that nobody can fully prepare for the unexpected.",Giant-cell arteritis
166,8,168,13,Man of the House,Colin Bucksey,Sara Hess & Liz Friedman,2012-02-20,7.08,"A marriage counselorcollapses during a speaking engagement, when it is discovered that, in addition to vision and liver problems, his low testosterone levels are affecting his marriage and career for the better. Meanwhile, House's wife returns to prepare House for their meeting with Homeland Security for her green card, as the team vies for a position as House's second-in-command.",Silent thyroiditis secondary to polyglandular autoimmune syndrome type III
167,8,169,14,Love Is Blind[n 1],Tim Southam,John C. Kelley,2012-02-27,5.94,"An independent blind manis admitted to the hospital after suffering auditory hallucinations, and soon begins coughing up blood. However, his treatment could leave him more disabled than before. Meanwhile, House’s mothersurprises him at Princeton Plainsboro to tell him about a new relationship with his old doctor, who might be his biological father.",Mucormycosis
168,8,170,15,Blowing the Whistle,Julian Higgins,Story by : Danny WeissTeleplay by : Danny Weiss & Seth Hoffman,2012-04-02,6.67,"A soldierreturning from overseas, accused of treason after releasing a video showing soldiers killing civilians, collapses and is taken to Princeton-Plainsboro. He soon refuses treatment until he has the opportunity to explain his decision to the masses. Meanwhile, Adams and the team believe House is seriously ill.",Typhus
169,8,171,16,Gut Check,Miguel Sapochnik,Jamie Conway & David Hoselton,2012-04-09,6.01,"House and the team take the case of a minor league hockey playerwho began coughing up blood after a fight on the ice. Meanwhile, House reveals to Wilson that he might have an 11-year-old son, and Park moves in with Chase after a fight with her mother.",Miller Fisher syndrome
170,8,172,17,We Need the Eggs,David Straiton,Peter Blake & Sara Hess,2012-04-16,5.61,"A manis admitted to the hospital when he begins crying blood, but the team suspects a neurological component when they meet his ""girlfriend""—a very lifelike sex doll with whom he's fallen in love, and he also admits why. Meanwhile, House confronts his insecurities when his hooker/companion decides to leave him.",Primary amoebic meningoencephalitis
171,8,173,18,Body & Soul,Stefan Schwartz,Dustin Paddock,2012-04-23,6.49,"A boyis admitted to the hospital after nightmares about being choked led to breathing problems. His mother tries to balance the medical diagnoses of the team with his Hmong grandfather's belief that the boy is possessed. Meanwhile, Chase and Park debate the meaning of their sex dreams, Dominika discovers House's deception, and Wilson tells House that hehas cancer.",Patent ductus arteriosus  (Lue) and Stage 2 thymoma (Wilson)
172,8,174,19,The C-Word,Hugh Laurie,John C. Kelley & Marqui Jackson,2012-04-30,6.45,"A six-year-old girlwith a rare genetic disorderis admitted to the hospital after suffering a nosebleed and losing consciousness. Foreman has the team consult with her motherwho is also an expert in her daughter's condition. Meanwhile, Wilson decides on a radical and potentially fatal course of treatment for his cancer, which House agrees to administer himself.",Atrial myxoma
173,8,175,20,Post Mortem,Peter Weller,David Hoselton & Kath Lingenfelter,2012-05-07,6.09,"When the hospital's coronerbegins slicing his own scalp open, he is admitted but will only accept medical care personally decided on by House. However, House is unreachable as he and Wilson embark on a journey for Wilson to forget his upcoming scan and let loose. Meanwhile, a conversation with the patient leads Chase to re-evaluate his career.",Hypothyroidism secondary to repeated triclosan and caffeine exposure
174,8,176,21,Holding On,Miguel Sapochnik,Russel Friend & Garrett Lerner & David Foster,2012-05-14,6.45,"A college studentis admitted with dizziness and nosebleeds but the team soon discovers that he hears his dead brother's voice, and they must try to decide which of his symptoms are psychological in nature.  Meanwhile, House and Wilson deal with the fact that the cancer treatment failed; Wilson decides to stop further treatment and die with dignity, while House's pranks inadvertently violate his court probation, which leaves him inevitably facing incarceration well past Wilson's final months.",Persistent stapedial artery
175,8,177,22,Everybody Dies,David Shore,David Shore & Peter Blake & Eli Attie,2012-05-21,8.72,"After failing to get out of his upcoming jail time, House disappears and his team, along with Wilson and Thirteen, are unable to locate him.  He awakens in a burning building after shooting heroin with his former patient.  With his life crumbling around him, House hallucinates people from his pastas he decides whether his life is worth living anymore. Believing House dead, members of the staff and family pay funeral tributes to him, including Wilson who denounces his selfishness until getting an odd text message---luring him to meet a very alive House, who faked his death to remake his life. Back at PPTH, Foreman settles into Cuddy's old job, and Chase succeeds House as director of diagnostic medicine, with Adams and Park as his new team. Meanwhile, Taub dines with Rachel, Ruby, and his daughters, and a re-married Cameron has become a mother and chief of a Chicago emergency room. Mounting motorcycles together, House offers to help make Wilson's last months of life liveable.",Autoimmune response to an inhaled piece of plant matter
